Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
3,0.96,14.0,14.5,5.1,0.0579999999999999,199.0,0.096,2091.0,1.0
2,1.0,14.5,14.5,6.6,0.044,207.0,0.111,1581.0,1.0
7,1.14,16.2,14.3,4.0,0.042,244.0,0.1689999999999999,1530.0,1.0
13,1.17,15.9,13.5,5.0,0.04,232.0,0.128,1428.0,1.0
11,0.97,13.9,14.3,3.4,0.031,194.0,0.111,1122.0,1.0
14,1.28,14.3,11.2,2.5,0.017,228.0,0.11,612.0,2.0
0,0.84,12.9,15.4,5.9,0.011,171.0,0.1169999999999999,408.0,1.0
1,1.21,17.9,14.7,4.6,0.01,256.0,0.168,357.0,2.0
4,1.1,17.9,16.2,3.6,0.185,242.0,0.217,4386.0,1.0
9,1.1,17.0,15.5,3.6,0.146,239.0,0.147,3468.0,1.0
12,1.01,14.6,14.4,6.6,0.108,206.0,0.089,2550.0,1.0
10,1.0,14.1,14.1,4.2,0.095,197.0,0.123,2244.0,1.0
8,1.01,15.2,15.0,5.0,0.073,235.0,0.147,1734.0,1.0
3,1.03,15.0,14.6,4.0,0.073,202.0,0.114,1734.0,1.0
13,0.9,13.7,15.3,6.4,0.062,192.0,0.151,1479.0,1.0
6,0.83,12.1,14.7,6.4,0.06,180.0,0.141,1428.0,1.0
5,0.94,13.4,14.3,4.3,0.0559999999999999,187.0,0.0969999999999999,1326.0,2.0
11,0.93,14.4,15.5,4.5,0.0409999999999999,190.0,0.135,969.0,1.0
2,1.04,15.0,14.5,7.4,0.037,207.0,0.098,867.0,1.0
0,1.01,14.1,13.9,5.2,0.024,195.0,0.065,561.0,1.0
1,0.95,15.7,16.6,7.3,0.019,209.0,0.17,459.0,1.0
7,0.93,15.7,16.8,3.7,0.013,223.0,0.149,306.0,0.0
14,0.86,14.0,16.3,3.0,0.009,213.0,0.179,204.0,0.0
9,1.15,17.5,15.2,4.2,0.153,252.0,0.159,57732.0,1.0
10,0.92,13.5,14.6,4.4,0.149,189.0,0.115,56151.0,1.0
4,1.13,17.3,15.3,3.9,0.13,246.0,0.177,49011.0,1.0
6,0.98,15.0,15.4,5.1,0.086,208.0,0.128,32487.0,1.0
8,1.0,15.7,15.7,4.9,0.077,235.0,0.152,28917.0,1.0
12,0.96,14.1,14.7,5.7,0.074,202.0,0.114,27846.0,1.0
5,1.0,13.9,14.0,4.2,0.068,205.0,0.105,25653.0,1.0
13,1.01,14.7,14.6,5.4,0.053,205.0,0.1119999999999999,19788.0,1.0
7,1.07,16.4,15.3,4.4,0.044,240.0,0.17,16677.0,1.0
2,0.94,14.0,14.9,6.6,0.0409999999999999,201.0,0.113,15555.0,1.0
3,0.93,13.6,14.6,4.4,0.0409999999999999,192.0,0.111,15402.0,1.0
11,0.94,14.2,15.1,4.0,0.03,197.0,0.126,11322.0,1.0
1,0.96,14.9,15.5,4.8,0.023,211.0,0.148,8721.0,1.0
14,0.93,14.6,15.7,3.6,0.02,207.0,0.155,7701.0,1.0
0,1.06,15.1,14.3,4.7,0.01,208.0,0.1169999999999999,3927.0,1.0
4,1.11,4.7,4.2,1.2,0.0,0.0,0.0,0.0,0.0
